following_count,follower_count,answer_count,voteup_count,thanked_count
191,47821,43,79116,15809
354,17516,46,75855,11173
1,9693,38,22638,2102
145,11,9,8,1
178,220,24,1393,165
1,,,,
6,,,,
3,1021,6,6215,641
94,1483,192,12335,993
407,25,19,12,4
72,34719,213,71923,1863
152,33,40,34,10
2,13455,69,71597,7306
43,12754,12,35042,5438
128,2,1,8,1
107,13,12,1,1
133,2,3,5,2
1,,,,
27,42,6,418,113
144,,,,
103,1944,39,5582,775
605,403,81,848,288
59,631589,118,657610,95952
7,,,,
118,321,40,2768,275
3,,,,
30,,1,,
12,17,15,27,5
405,13,1,,
198,993,432,3195,1771
35,,,,
318,12,5,6,
55,458,72,65,13
691,166,279,1254,265
1,,,,
412,86649,156,119380,22936
28,1335,14,956,230
504,4,1,2,2
20,3,1,,
71,135,59,215,40
56,21,85,370,64
1614,31,18,47,6
1,846,8,6905,484
23,202,33,15579,997
195,188,63,146,69
93,60465,543,66472,13179
147,6,10,30,9
67,,,,
31,1,13,3,
396,48,88,73,30
47,,,,
604,19,3,4,
4,1,,,
303,2247,12,1856,190
96,69684,255,62176,4972
10,1,1,,
3,5,44,307,43
12,3,,,
115,3,10,3,
262,154097,197,17497,6496
28,38,18,92,13
95,171625,300,60662,14015
13,,,,
858,2358,51,10618,1240
61,12,11,18,6
7,1,1,,
77,79,109,483,138
63,52489,59,127411,22481
41,2108,1,487,4
206,230,22,436,11
255,6378,238,18355,5115
543,3606,27,2692,990
690,188,195,243,91
54,3,,,
34,,,,
86,2,4,1,
10,,,,
1279,25,2,,
21,45479,81,55969,12287
857,493,244,16541,1195
4,,3,,
253,214,136,503,97
107,5,4,1,
538,9232,138,26720,6289
22,,1,,
80,20725,362,79903,13531
22,,,,
715,7,,,
93,,,,
1302,9322,837,15824,4013
165,44834,80,74277,8309
12,199,5,959,228
29,4,2,9,5
103,267,34,116,25
6,,,,
195,2,,,
,63,11,568,83
74,124,38,42,9
60,94731,194,71211,20293
3,1,,,
2198,19,,,
141,5,2,1,
112,1068,20,2246,728
51,425,55,11937,1311
633,761,75,28151,3034
52,,,,
54,34,221,457,61
6,,,,
376,95453,1635,381797,68643
735,30,49,48,6
57,26498,95,22943,1388
1,19232,386,46057,5326
427,1,,,
9,167,66,819,282
1673,28994,705,318933,37373
17,1164,250,2052,929
198,1152,281,34992,3686
3176,5096,516,25282,3229
519,10,4,6,
1,,,,
1259,100935,818,118063,25628
5,,,,
13,2,2,4,1
715,9,2,,
116,5,13,77,13
,3586,6,2369,982
609,28493,496,34876,8399
,1353,21,1007,317
11,2,,,
514,4,9,6,
280,81,43,212,40
13,,16,2,1
759,150,40,3739,574
141,5,,,
56,7,,,
70,10735,51,20246,3645
138,61,105,1419,216
23,2,,,
24,,1,2,
131,1,4,1,
70,11,4,3,2
1900,31,3,4,
91,59,41,182,38
2341,20,5,2,2
3649,145,11,7,2
5,3,,,
12,10,13,6,
2935,59,20,14,6
4991,78,128,14,14
2,,,,
34,19579,17,18828,206
179,24,12,5,
3,43806,68,42945,3264
42,6,9,19,
2,,1,,
2620,11673,47,71894,13901
47,4,11,5,2
278,43664,1378,31473,8444
8,,1,2,
,242,30,4860,348
31,9467,173,55868,8451
2,260,1,22265,844
1912,42,62,77,6
1687,591,8,35,6
232,3518,1592,36748,4136
44,20,,,
3,68,30,2621,270
34,131,90,357,65
204,,,,
183,166,15,778,165
6,,,,
120,4,5,12,4
30,,1,,
21,5,6,61,7
20,1,,,
14,17447,55,11470,1347
523,316979,532,35151,12245
42,16482,23,26985,2405
26,1,,,
47,53,4,274,43
461,84,20,580,64
677,104,51,363,60
2,6,59,441,27
13,1,,,
138,246,16,13062,2194
5,233,24,663,143
2,,,,
114,2,4,2,1
195,92951,84,164088,11656
92,,1,,
361,14951,17,25825,3677
5,,,,
21,,,,
5,2,,,
130,22224,95,27351,7674
4904,129,,,
8,43527,12,83569,1699
10,1,,,
153,8,,,
,216,3,206,98
354,47388,103,85962,24425
53,4,2,13,
9,1,5,5,
200,4,,,
24,1513,3,1517,349
1785,169249,359,229080,39328
642,122918,152,179364,28330
375,79242,296,21588,5262
5,,,,
627,6,7,4,1
8,1,1,2,
4,327,42,1158,503
36,1424,30,20101,2811
73,20,5,16,1
129,2,1,1,
3823,115,1,,
7,,1,,
4,,2,,
197,15655,236,34980,11314
735,55899,196,6775,1611
1,,,,
4981,624,831,3270,818
5,,,,
2,1,,,
574,1127,600,294,175
49,14732,2111,40556,7833
29,10,3,1,2
23,19642,30,28138,4640
28,4353,21,11987,2530
217,213847,480,76989,22750
121,7076,46,11652,1510
5,1,1,,
5,,2,3,1
1,,,,
293,39877,62,97320,31720
18,1814,169,3325,719
8,,,,
83,22,2,3,3
176,18,,,
2,,3,2,
21,3,18,17,6
8,,,,
1,,,,
2,2914,353,31021,4435
20,2,10,,
3,23,1,2745,349
708,5,1,2,
187,2,15,6,1
426,2,1,,
3137,39,1,1,
37,,,,
1,1,,,
,432,37,220,125
17,,,,
351,59,54,683,91
91,1148,2,2946,1133
106,1,,,
254,3,,,
285,13,4,,
1349,43,24,15,3
40,2630,58,13345,848
3369,1610,232,9879,1405
1,1118,5,3094,302
3,528,9,1289,48
4885,6421,516,122853,16412
7,222,4,32,12
16,579,73,9800,944
62,582,53,5380,847
14,,1,,
97,12,,,
92,,1,,
58,15,4,8,6
17,219,63,153,37
10,,,,
2,,3,,
43,4,4,2,2
1,1,,,
928,10836,436,25432,4106
222,2,,,
24,104264,77,363593,51348
68,4125,76,22243,3427
65,119321,973,470588,84829
28,14,,,
,10799,230,42548,5770
349,419,34,1480,625
1822,19,,,
60,1,8,12,
53,8,4,9,1
3324,161,,,
49,3,14,22,3
1725,8,3,,
439,7264,52,28757,3236
445,1250,167,3047,616
,7,,,
1546,84,2,4,1
64,182501,413,254476,54971
84,5,,,
8,39998,13,17750,3284
453,5,,,
71,3,4,,1
836,7,,,
240,10313,84,30566,4743
93,2905,83,4649,1286
25,,,,
39,146,227,909,212
49,120476,240,413284,53454
591,14,12,3,1
71,,,,
3438,78,3,7,1
103,6,9,2,1
42,16,8,31,5
106,,,,
535,5373,40,8135,1058
347,51,57,63,13
70,,2,2,
1,,,,
2,,,,
1753,132,,,
3709,67,89,167,19
410,5,12,6,2
181,33,5,2,
45,19,17,2368,186
3,,,,
2,,1,,
5000,2785,429,885,267
1040,19,9,6,1
13,,,,
9,,1,,
91,,,,
1,28308,,,
22,6832,5,6,2
203,1050873,109,119504,26730
524,11,3,,
760,9,27,69,6
222,1203,27,2271,679
101,126,7,15,5
19,,4,,
180,2,6,1,
37,55,3,522,113
37,7,11,16,6
,3580,,,
17,,,,
40,1140,11,1720,339
467,25448,153,48815,10430
50,2,,,
55,1,3,,
160,7,1,2,2
390,14901,299,20089,4310
79,,,,
96,17,1,140,34
6,,,,
857,56,302,798,128
216,38,35,56,20
47,1,5,3,1
4574,37,208,82,17
14,2,21,9,1
144,5,,,
215,161,178,337,125
574,5,,,
566,446,159,703,229
114,3,1,,
1,1,,,
166,14,,,
918,91,63,100,27
4998,378,399,863,318
20,,,,
107,72,,,
68,,,,
29,,,,
33,3,,,
2550,418,,,
284,475,47,1423,231
178,41305,122,69750,8308
564,78,6,244,45
272,20,48,12,4
156,1054,614,6770,789
